Compro,Costo,Seguridad,Trasnporte,Ruido,Estado_de_la_construcción
si,12940,1,2,2,1
si,13184,2,1,1,2
no,78233,1,3,3,3
no,23503,2,2,3,2
si,89433,3,2,1,3
no,16349,2,1,2,2
si,19656,1,2,1,1
no,20271,1,3,2,2
no,68785,2,1,3,3
si,12388,3,1,1,2
no,12441,2,3,2,1
si,87185,3,1,1,2
no,10680,1,2,2,3
si,85331,2,1,3,3
no,76572,1,1,2,2
si,12190,2,2,1,1
no,30573,1,3,3,2
no,53073,3,2,2,2
no,12477,1,3,1,2
si,17896,1,1,2,2
no,89890,1,1,3,2
si,19722,1,2,2,2
no,17878,3,3,1,1
si,12200,2,2,2,1
si,16170,1,1,3,1
si,89343,2,2,1,1
si,84938,1,3,2,1
no,32508,2,1,2,1
si,13204,3,1,2,1
si,49150,2,2,1,1
no,66129,1,3,2,1
no,19728,2,1,3,2
no,11271,2,2,3,1
no,46900,2,3,1,1
si,13941,1,1,2,2
si,69592,3,2,2,1
no,70223,3,2,3,1
si,65864,2,1,2,1
no,39078,1,3,1,1
no,96629,3,3,2,1
si,11944,2,1,3,3
si,17995,1,2,2,3
no,89389,1,2,1,2
no,15961,2,2,2,2
si,17889,3,1,3,2
si,18814,1,1,3,1
no,20619,2,2,2,2
no,85602,3,2,1,2
si,83047,1,3,2,2
si,12269,2,1,1,1
si,14147,3,3,2,1
no,10443,1,2,3,2
si,19586,2,3,2,1
no,17380,3,1,1,1
si,38809,2,3,2,1
no,15747,1,3,2,2
si,78591,2,1,1,2
no,19413,1,2,2,1
no,98510,1,3,3,1
si,14694,1,2,1,1
no,13866,1,1,2,1
no,71707,3,3,3,2
si,63914,3,2,2,2
no,18155,3,2,1,3
no,15768,2,1,2,1
si,12878,2,2,2,2
no,17245,2,3,3,2
si,36457,3,3,1,2
no,19937,2,2,2,2
no,35394,3,1,3,1
si,87989,3,2,1,1
no,10334,2,3,2,1
no,17441,1,2,3,1
si,35406,2,1,2,1
no,19166,3,2,1,3
no,17533,2,2,2,1
si,17171,2,1,3,1
si,15971,1,1,1,1
si,16682,2,2,2,2
no,81481,3,2,3,1
si,77690,2,3,2,2
no,27878,3,3,1,2
si,12054,2,2,1,1
no,80915,1,2,2,1
si,15188,2,2,3,2
no,15632,3,1,3,2
si,63925,2,2,3,2
no,16289,2,3,3,2
si,14164,1,2,3,2
no,16818,2,2,3,2
no,34401,3,1,3,2
no,50151,2,2,3,3
si,20524,1,3,3,2
si,39501,2,2,2,1
no,13063,3,2,2,1
si,51968,2,1,2,1
no,13442,1,1,1,2
no,14272,1,2,2,1
no,13152,2,3,2,1
