Costo,Seguridad,Trasnporte,Ruido,Climatización,Estado de la construcción
129406775,1,2,2,1,1
131841198,2,1,1,2,2
78233781,1,3,3,3,2
23503082,2,2,3,2,2
89433382,3,2,1,3,2
163492036,2,1,2,2,2
196565663,1,2,1,1,2
20271466,1,3,2,2,2
68785116,2,1,3,3,2
123886240,3,1,1,2,2
12441704,2,3,2,1,1
87185124,3,1,1,2,2
106809276,1,2,2,3,2
85331208,2,1,3,3,1
76572348,1,1,2,2,1
121906352,2,2,1,1,1
30573469,1,3,3,2,1
53073173,3,2,2,2,2
124774645,1,3,1,2,2
178961728,1,1,2,2,1
89890648,1,1,3,2,2
197227558,1,2,2,2,1
178782465,3,3,1,1,2
122002065,2,2,2,1,3
161700670,1,1,3,1,2
8934374,2,2,1,1,1
84938432,1,3,2,1,1
32508348,2,1,2,1,2
132049491,3,1,2,1,3
49157867,2,2,1,1,1
66129504,1,3,2,1,1
197289440,2,1,3,2,2
112717057,2,2,3,1,2
46900265,2,3,1,1,2
139417010,1,1,2,2,1
6959213,3,2,2,1,2
70223273,3,2,3,2,3
65864649,2,1,2,1,2
39078743,1,3,1,1,1
96629419,3,3,2,1,2
119444373,2,1,3,3,2
179950765,1,2,2,3,1
89389324,1,2,1,2,1
159614119,2,2,2,2,1
178893823,3,1,3,2,1
188149396,1,1,3,1,2
20619604,2,2,2,2,3
85602732,3,2,1,2,2
8304711,1,3,2,2,2
122693809,2,1,1,1,2
141472321,3,3,2,1,1
104439403,1,2,3,2,1
195862268,2,3,2,1,1
173808588,3,1,1,1,1
38857309,2,3,2,1,1
88615747,1,3,2,2,1
78565391,2,1,1,2,2
124899413,1,2,2,1,2
91898510,1,3,3,1,2
14668294,1,2,1,1,2
134043866,1,1,2,1,2
71482707,3,3,3,2,1
63270914,3,2,2,2,1
182828155,3,2,1,3,1
176751768,2,1,2,1,3
128170878,2,2,2,2,2
172510445,2,3,3,2,1
36457495,3,3,1,2,1
19937332,2,2,2,2,2
35343994,3,1,3,1,2
87976489,3,2,1,1,2
103642834,2,3,2,1,2
174694441,1,2,3,1,1
35404326,2,1,2,1,1
198963166,3,2,1,3,2
17539133,2,2,2,1,1
176616171,2,1,3,1,2
154702971,1,1,1,1,2
166827458,2,2,2,1,2
81481757,3,2,3,1,3
77632790,2,3,2,2,2
27853078,3,3,1,2,3
12457054,2,2,1,1,3
80784015,1,2,2,1,1
15618883,2,2,3,2,2
156142932,3,1,3,2,2
63820925,2,2,3,2,2
160884289,2,3,3,2,2
149363164,1,2,3,2,2
168719318,2,2,3,2,1
34408341,3,1,3,2,2
50159561,2,2,3,2,3
20524481,1,3,3,2,1
39501498,2,2,2,1,2
130638327,3,2,2,1,3
51964968,2,1,2,1,1
134439442,1,1,1,1,2
142386672,1,2,2,1,3
131562452,2,3,2,1,1
